game_id,datetime,white_username,white_rating,white_result,white_accuracy,black_username,black_rating,black_result,black_accuracy,eco,game_format,game_result,san_moves
19o9Pq0s,2022-06-23 15:06:46,MagnusCarlsen,1641,win,,Cedur216,1923,loss,,,blitz,,1. Nf3 f6 2. e3 e6 3. Nd4 Bb4 4. c3 f5 5. Qh5+ g6 6. Qg5 Qxg5 7. Nb5 Nf6 8. f3 O-O 9. Nxa7 Ne4 10. d4 Nd2 11. Bb5 Nxb1 12. Bxd7 Bd6 13. f4 g5 14. g3 h5 15. h4 gxf4 16. Kd1 Kh7 17. Rf1 c6 18. e4 f4 19. gxf4 Bf4 20. b4 Rg8 21. Rg1 Bg3 22. a4 b6 23. c4 e5 24. Kc2 exd4 25. Kb1 Rd8 26. Rd1 Rf8 27. Rd7+ Rf7 28. Rxf7 Bxh4 29. e5 Kg7 30. e6 Kf8 31. e7+ Ke8 32. a5 bxa5 33. b5 h4 34. b6 h3 35. b7 h2 36. b8=Q+ Kf7 37. e8=Q+ Kf6 38. Qee5+ Kg6 39. Qg8+ Kh6 40. Qeg5#
G4KKbIXK,2018-01-08 15:04:40,MagnusCarlsen,1500,win,,ll_estevao_ll,1421,loss,,,bullet,,1. Nf3 f6 2. e3 c6 3. Ne5 fxe5 4. Qh5+ g6 5. Qe5 e6 6. Qc7 Qxc7 7. b4 c5 8. Bb2 cxb4 9. Bb5 Kf7 10. Bxh8 Bb4 11. c3 Bxc3 12. Nc3 d5 13. Be8+ Kf8 14. Nb5 Rc8 15. Rc1 Rxc1 16. O-O g5 17. f4 g4 18. f5 g3 19. hxg3 h5 20. fxe6+ Kg8 21. Rf8+ Kh7 22. Nd6 h4 23. Rh8+ Kg7 24. Nf5+ Kf6 25. Rf8+ Ke5 26. e4 h3 27. exd5#
